               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,             0.02876,            0.010051,            0.008267,             0.89622,             0.83383,             0.87325,             0.56643,            0.025393,           0.0073935,            0.041468,           0.0040105,           0.0040105,           0.0040105
                 123,            0.026996,           0.0095807,           0.0057264,               0.895,             0.83933,             0.86736,             0.60024,            0.021221,            0.007427,            0.043711,            0.003961,            0.003961,            0.003961
                 124,            0.027449,            0.010094,           0.0064733,             0.90034,             0.83868,              0.8655,              0.5943,            0.020884,           0.0070426,            0.043608,           0.0039115,           0.0039115,           0.0039115
                 125,            0.027571,           0.0098793,           0.0060447,              0.8833,             0.84091,             0.86817,              0.6009,            0.021288,           0.0070886,            0.042785,            0.003862,            0.003862,            0.003862
                 126,            0.027656,           0.0098446,           0.0073072,             0.89777,             0.83676,             0.86625,              0.5983,            0.021079,           0.0072948,            0.043064,           0.0038125,           0.0038125,           0.0038125
                 127,             0.02679,           0.0097716,           0.0073241,             0.89772,             0.84077,             0.86863,             0.58663,            0.023514,           0.0074887,            0.043082,            0.003763,            0.003763,            0.003763
                 128,            0.025859,           0.0097406,           0.0055263,              0.8991,              0.8372,             0.86312,             0.56165,             0.02493,           0.0072362,            0.044596,           0.0037135,           0.0037135,           0.0037135
                 129,            0.025998,            0.010265,           0.0058349,             0.89968,             0.84091,             0.86429,             0.61958,            0.020655,            0.007084,            0.043534,            0.003664,            0.003664,            0.003664
                 130,            0.026532,           0.0097987,           0.0065222,             0.90061,              0.8397,             0.87525,             0.62356,            0.021131,           0.0070528,            0.042334,           0.0036145,           0.0036145,           0.0036145
                 131,            0.026409,           0.0090537,           0.0056681,             0.90017,             0.83937,             0.86945,             0.59418,            0.021664,           0.0070152,            0.042806,            0.003565,            0.003565,            0.003565
                 132,            0.025761,           0.0095772,           0.0063103,             0.89804,               0.837,             0.87136,             0.62249,             0.02083,           0.0070147,            0.043157,           0.0035155,           0.0035155,           0.0035155
                 133,            0.026284,           0.0093201,           0.0063607,             0.89522,             0.83472,             0.86765,             0.59749,            0.022776,            0.007149,            0.045464,            0.003466,            0.003466,            0.003466
                 134,            0.025126,            0.010014,           0.0048994,              0.8995,             0.83728,             0.86614,             0.58801,            0.021901,           0.0071002,            0.047456,           0.0034165,           0.0034165,           0.0034165
                 135,             0.02597,            0.010637,           0.0064201,             0.89598,             0.83502,             0.86214,             0.60607,             0.02175,           0.0070675,            0.047577,            0.003367,            0.003367,            0.003367
                 136,            0.026504,           0.0098222,           0.0061741,             0.90105,             0.84091,             0.87792,             0.61914,            0.023202,           0.0070133,            0.044467,           0.0033175,           0.0033175,           0.0033175
                 137,            0.026712,           0.0092912,           0.0065787,             0.89933,             0.84091,              0.8688,             0.62322,            0.020894,           0.0069217,            0.043231,            0.003268,            0.003268,            0.003268
                 138,            0.025613,           0.0091509,           0.0063124,             0.90072,              0.8394,             0.87606,             0.60599,            0.022352,           0.0071463,            0.042957,           0.0032185,           0.0032185,           0.0032185
                 139,             0.02475,           0.0099031,           0.0053015,             0.89836,             0.83417,             0.86533,             0.55232,            0.024523,           0.0070057,             0.04636,            0.003169,            0.003169,            0.003169
                 140,            0.025657,           0.0095858,           0.0062024,             0.90281,             0.84091,              0.8606,             0.59831,            0.020358,           0.0067878,            0.045107,           0.0031195,           0.0031195,           0.0031195
                 141,            0.024683,           0.0091837,           0.0051931,             0.89814,             0.84091,             0.86138,             0.61204,            0.020119,           0.0070875,            0.045714,             0.00307,             0.00307,             0.00307
                 142,            0.025611,           0.0091845,           0.0058354,             0.89273,             0.83758,             0.86995,             0.59948,            0.021091,           0.0071539,             0.04576,           0.0030205,           0.0030205,           0.0030205
                 143,            0.024914,           0.0097095,           0.0050519,             0.90121,             0.83969,             0.88157,             0.61879,            0.020924,           0.0069865,            0.041385,            0.002971,            0.002971,            0.002971
                 144,            0.025809,           0.0097082,           0.0059615,               0.903,             0.84091,             0.87327,             0.63909,            0.020515,           0.0069693,            0.043556,           0.0029215,           0.0029215,           0.0029215
                 145,            0.025886,           0.0098608,           0.0060217,             0.89931,             0.84091,             0.86851,             0.62126,            0.020629,           0.0068111,            0.045563,            0.002872,            0.002872,            0.002872
                 146,            0.024616,           0.0095162,           0.0052556,             0.89469,             0.84091,              0.8733,             0.61386,            0.021629,           0.0068613,            0.042607,           0.0028225,           0.0028225,           0.0028225
                 147,            0.024327,           0.0091192,           0.0041435,             0.88354,              0.8417,             0.87051,             0.62531,            0.019836,           0.0067281,            0.043918,            0.002773,            0.002773,            0.002773
                 148,            0.024856,            0.009216,            0.005991,             0.87317,             0.83728,             0.86506,             0.61244,             0.02056,           0.0068169,             0.04693,           0.0027235,           0.0027235,           0.0027235
                 149,            0.024442,           0.0092413,           0.0058096,             0.88833,             0.83149,             0.86147,             0.59994,            0.021461,           0.0069025,            0.047985,            0.002674,            0.002674,            0.002674
                 150,             0.02463,           0.0094374,           0.0053886,             0.90028,             0.83745,             0.87004,             0.61418,            0.021889,           0.0068974,             0.04571,           0.0026245,           0.0026245,           0.0026245
                 151,            0.024174,           0.0095148,           0.0053607,             0.89713,             0.83614,             0.87056,             0.61548,            0.021513,           0.0068273,            0.045707,            0.002575,            0.002575,            0.002575
                 152,            0.024865,           0.0093239,           0.0057641,             0.89559,             0.84091,             0.86917,             0.64844,            0.019535,             0.00685,             0.04605,           0.0025255,           0.0025255,           0.0025255
                 153,            0.024514,           0.0088916,           0.0047268,             0.90012,             0.83869,             0.86671,             0.61915,            0.020435,           0.0070717,            0.046749,            0.002476,            0.002476,            0.002476
                 154,            0.024976,           0.0094184,           0.0047079,             0.88872,             0.84091,              0.8613,             0.58395,            0.020509,           0.0069653,            0.048562,           0.0024265,           0.0024265,           0.0024265
                 155,            0.023963,           0.0095501,           0.0042388,             0.88364,             0.83935,              0.8598,             0.61707,            0.020158,           0.0069148,            0.049884,            0.002377,            0.002377,            0.002377
                 156,            0.023767,           0.0089184,           0.0056534,             0.89548,             0.84028,             0.87274,             0.63959,            0.020711,           0.0067919,            0.045684,           0.0023275,           0.0023275,           0.0023275
                 157,            0.024475,           0.0092149,            0.004881,             0.88645,             0.84091,              0.8745,             0.63271,            0.020183,           0.0068084,            0.045357,            0.002278,            0.002278,            0.002278
                 158,            0.023463,           0.0097009,           0.0048126,             0.87611,             0.83926,             0.87052,             0.64144,            0.019608,           0.0067196,            0.046787,           0.0022285,           0.0022285,           0.0022285
