               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.021596,           0.0068837,           0.0066017,             0.99322,                   1,               0.995,             0.84375,            0.012366,           0.0033547,           0.0017151,           0.0062875,           0.0062875,           0.0062875
                  77,            0.021242,           0.0068824,           0.0066259,             0.99084,             0.99978,               0.995,             0.83966,            0.012548,           0.0032867,           0.0017069,            0.006238,            0.006238,            0.006238
                  78,            0.020764,           0.0071174,           0.0063309,             0.98016,             0.99776,               0.995,             0.82802,            0.013036,           0.0034661,            0.001967,           0.0061885,           0.0061885,           0.0061885
                  79,            0.021284,           0.0070261,           0.0064203,             0.98465,             0.99698,               0.995,             0.81506,            0.013505,           0.0033662,           0.0021894,            0.006139,            0.006139,            0.006139
                  80,            0.022374,           0.0068608,           0.0058231,             0.98912,             0.99582,             0.99478,             0.83228,            0.012467,           0.0033055,           0.0018489,           0.0060895,           0.0060895,           0.0060895
                  81,            0.021897,           0.0067209,           0.0062128,             0.98999,             0.99371,               0.995,             0.84168,            0.012666,           0.0031548,           0.0018612,             0.00604,             0.00604,             0.00604
                  82,            0.020904,           0.0069119,           0.0057435,             0.98098,             0.99165,             0.99283,             0.85055,            0.012432,           0.0031306,           0.0021721,           0.0059905,           0.0059905,           0.0059905
                  83,            0.020607,           0.0069681,           0.0054191,             0.98112,             0.99388,             0.99478,             0.84098,            0.012479,           0.0033138,            0.001856,            0.005941,            0.005941,            0.005941
                  84,            0.021728,           0.0066581,           0.0062957,             0.98763,             0.99636,               0.995,             0.84436,            0.011437,           0.0032248,           0.0018102,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020694,           0.0067091,           0.0065289,             0.98811,             0.99832,               0.995,             0.85544,            0.011338,           0.0031891,           0.0016565,            0.005842,            0.005842,            0.005842
                  86,            0.020619,           0.0069779,            0.006067,             0.99281,             0.99637,               0.995,             0.83314,             0.01309,           0.0032775,           0.0015928,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019896,           0.0068026,           0.0058644,             0.98762,             0.98265,               0.995,             0.85305,            0.013432,           0.0032069,           0.0020318,            0.005743,            0.005743,            0.005743
                  88,            0.020311,           0.0066326,           0.0056245,             0.97055,             0.99028,             0.99478,             0.84854,            0.011984,           0.0033105,           0.0021892,           0.0056935,           0.0056935,           0.0056935
                  89,            0.020142,           0.0065812,           0.0048827,             0.98004,             0.98388,             0.99478,               0.843,            0.012514,           0.0031718,           0.0020787,            0.005644,            0.005644,            0.005644
                  90,            0.020688,           0.0068949,           0.0062016,             0.98992,             0.98734,               0.995,             0.83544,            0.011692,            0.003258,           0.0016372,           0.0055945,           0.0055945,           0.0055945
                  91,            0.020659,           0.0065126,           0.0055747,             0.98106,             0.97887,               0.995,             0.86317,             0.01076,           0.0030713,           0.0022979,            0.005545,            0.005545,            0.005545
                  92,            0.019842,           0.0069408,           0.0061662,             0.97958,             0.98698,               0.995,             0.86521,             0.01165,           0.0030735,           0.0019879,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020416,           0.0067677,           0.0052491,             0.98793,             0.99979,               0.995,             0.86101,            0.010795,           0.0031179,           0.0015068,            0.005446,            0.005446,            0.005446
                  94,            0.019969,           0.0066542,            0.005277,             0.99028,             0.99772,               0.995,             0.85583,            0.012075,           0.0031421,           0.0013592,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019494,           0.0065303,           0.0046285,             0.99077,             0.99339,               0.995,             0.83784,            0.012921,           0.0032831,           0.0015379,            0.005347,            0.005347,            0.005347
                  96,            0.019777,           0.0066377,           0.0050824,             0.98505,             0.99339,               0.995,             0.84652,             0.01178,           0.0030702,           0.0017378,           0.0052975,           0.0052975,           0.0052975
                  97,            0.020036,           0.0063601,           0.0047584,             0.98577,             0.99389,               0.995,             0.85467,            0.011333,           0.0030389,           0.0016765,            0.005248,            0.005248,            0.005248
                  98,            0.019499,           0.0067055,           0.0051645,             0.98302,             0.99291,             0.99441,              0.8452,            0.012137,           0.0031629,           0.0017651,           0.0051985,           0.0051985,           0.0051985
                  99,            0.019647,           0.0065354,           0.0051131,             0.98243,             0.98961,             0.99393,               0.857,            0.011228,           0.0030317,           0.0019748,            0.005149,            0.005149,            0.005149
                 100,            0.019704,           0.0068994,            0.005023,             0.98404,             0.99586,               0.995,             0.85451,            0.011575,           0.0030451,           0.0015401,           0.0050995,           0.0050995,           0.0050995
                 101,            0.018818,           0.0063981,           0.0061049,              0.9875,             0.99604,               0.995,             0.85541,            0.011933,           0.0030831,           0.0015336,             0.00505,             0.00505,             0.00505
                 102,            0.019209,           0.0061864,           0.0052633,             0.98902,             0.99629,               0.995,             0.84996,            0.011688,           0.0030653,           0.0014663,           0.0050005,           0.0050005,           0.0050005
                 103,            0.019218,           0.0064485,           0.0058799,             0.98699,                   1,               0.995,             0.86443,            0.010528,           0.0030258,           0.0015363,            0.004951,            0.004951,            0.004951
                 104,            0.018822,           0.0061072,           0.0045813,              0.9916,                   1,               0.995,             0.86063,            0.010817,           0.0030176,           0.0013271,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019156,            0.006349,           0.0052552,             0.99192,                   1,               0.995,              0.8615,            0.011653,           0.0029994,           0.0013944,            0.004852,            0.004852,            0.004852
                 106,            0.018618,           0.0060446,           0.0045114,             0.99037,             0.99446,               0.995,             0.85386,             0.01187,           0.0030392,           0.0013409,           0.0048025,           0.0048025,           0.0048025
                 107,            0.018735,           0.0064575,           0.0042658,             0.98824,             0.99588,               0.995,             0.85255,            0.010786,           0.0029593,           0.0013946,            0.004753,            0.004753,            0.004753
